"","value","labl","lga","piped_sewer_system","septic_tank","pit_latrine","open_drain","flushed_elsewhere","ventilated_improved_pit_latrine","pit_latrine_with_slab","open_pit_latrine","composting_toilet","hanging_toilet_latrine","no_facilities"
"253",1311,"1311. IKOLE","Ikole",0,2,3,0,0,0,3,0,0,0,2
"254",1312,"1312. IIEJEMEJE","Iiejemeje",0,1,1,0,0,0,2,0,0,0,6
"255",1313,"1313. IREPODUN IFELOD","Irepodun Ifelod",0,0,0,0,0,0,0,0,0,0,0
"256",1314,"1314. ISEORUN","Iseorun",0,0,0,0,0,0,0,0,0,0,0
"257",1315,"1315. MOBA","Moba",0,0,1,0,0,0,0,0,0,0,8
"258",1316,"1316. OYE","Oye",0,2,2,0,0,0,3,0,0,0,3
"259",1401,"1401. ANINRI","Aninri",3,0,0,0,0,1,9,1,0,0,13
"260",1402,"1402. AWGU","Awgu",1,0,0,0,0,0,3,0,0,0,6
"261",1403,"1403. ENUGU EAST","Enugu East",15,7,1,0,0,0,0,0,0,0,7
"262",1404,"1404. ENUGU NORTH","Enugu North",1,0,0,0,0,0,0,0,0,0,0
"263",1405,"1405. ENUGU SOUTH","Enugu South",3,1,3,0,0,0,1,0,0,0,2
"264",1406,"1406. EZE AGU","Eze Agu",1,0,0,0,0,0,2,0,0,0,15
"265",1407,"1407. IGBO ETITI","Igbo Etiti",0,0,0,0,0,0,0,0,0,0,0
"266",1408,"1408. IGBO EZE NORTH","Igbo Eze North",2,0,0,0,0,0,5,0,0,0,1
"267",1409,"1409. IGBO EZE SOUTH","Igbo Eze South",0,0,0,0,0,0,0,0,0,0,0
"268",1410,"1410. ISI UZO","Isi Uzo",0,2,0,0,0,0,0,0,0,0,6
"269",1411,"1411. NKANU EAST","Nkanu East",0,1,0,0,0,0,2,1,0,0,16
"270",1412,"1412. NKANU WEST","Nkanu West",0,0,0,0,0,0,0,0,0,0,0
"271",1413,"1413. NSUKKA","Nsukka",0,1,0,0,0,0,4,1,0,0,2
"272",1414,"1414. OJI RIVER","Oji River",0,0,0,0,0,0,0,0,0,0,0
"273",1415,"1415. UDENU","Udenu",0,0,0,0,0,0,0,0,0,0,0
"274",1416,"1416. UDI","Udi",0,3,1,0,0,0,2,0,0,0,13
